Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2017-10-28,16:07:20,Running,,12.87,01:11:13,05:32,10.84,895,170,148,,TomTom MySports Watch,2017-10-28-160720.gpx
2017-10-19,18:22:10,Running,,8.85,50:41:00,05:44,10.47,624,144,140,,TomTom MySports Watch,2017-10-19-182210.gpx
2017-10-16,17:09:27,Running,,14.9,01:22:16,05:31,10.86,1045,215,146,,TomTom MySports Watch,2017-10-16-170927.gpx
2017-10-10,18:24:47,Running,,8.04,43:22:00,05:24,11.13,570,126,146,,TomTom MySports Watch,2017-10-10-182447.gpx
2017-10-07,16:29:17,Running,,18.67,01:48:11,05:48,10.36,1327,297,143,,TomTom MySports Watch,2017-10-07-162917.gpx
2017-10-01,17:55:38,Running,,12.76,01:11:15,05:35,10.74,886,174,144,,TomTom MySports Watch,2017-10-01-175538.gpx
2017-09-28,18:20:48,Running,,12.77,01:07:38,05:18,11.33,897,171,143,,TomTom MySports Watch,2017-09-28-182048.gpx
2017-09-25,18:39:09,Running,,12.75,01:06:43,05:14,11.46,896,169,148,,TomTom MySports Watch,2017-09-25-183909.gpx
2017-09-22,12:27:14,Cycling,,49.18,02:42:32,03:18,18.15,852,367,,,,2017-09-22-122714.gpx
2017-09-19,16:24:08,Running,,17.77,01:39:39,05:36,10.7,1247,257,139,,TomTom MySports Watch,2017-09-19-162408.gpx
2017-09-16,17:26:25,Running,,18.6,01:43:09,05:33,10.82,1305,313,138,,TomTom MySports Watch,2017-09-16-172625.gpx
2017-09-10,16:57:56,Running,,23.64,02:16:31,05:47,10.39,1682,394,142,,TomTom MySports Watch,2017-09-10-165756.gpx
2017-09-07,18:44:44,Running,,8.5,44:32:00,05:14,11.45,603,88,141,,TomTom MySports Watch,2017-09-07-184444.gpx
2017-09-05,18:34:21,Running,,12.77,01:06:15,05:11,11.56,896,127,152,,TomTom MySports Watch,2017-09-05-183421.gpx
2017-09-03,17:20:20,Running,,23.8,02:11:00,05:30,10.9,1669,384,151,,TomTom MySports Watch,2017-09-03-172020.gpx
2017-08-31,18:44:27,Running,,12.79,01:06:39,05:13,11.51,895,169,142,,TomTom MySports Watch,2017-08-31-184427.gpx
2017-08-29,18:36:14,Running,,12.7,01:07:42,05:20,11.25,901,127,147,,TomTom MySports Watch,2017-08-29-183614.gpx
2017-08-19,18:01:57,Running,,23.62,02:17:14,05:49,10.33,1667,377,138,,TomTom MySports Watch,2017-08-19-180157.gpx
2017-08-17,18:36:00,Cycling,,15.53,40:04:00,02:35,23.25,380,164,138,,TomTom MySports Watch,2017-08-17-183600.gpx
2017-08-16,19:00:40,Running,,12.79,01:07:40,05:17,11.34,896,170,148,,TomTom MySports Watch,2017-08-16-190040.gpx
2017-08-14,18:01:38,Running,,12.77,01:08:40,05:23,11.16,893,171,142,,TomTom MySports Watch,2017-08-14-180138.gpx
2017-08-10,18:28:54,Running,,8.43,43:48:00,05:12,11.54,596,86,147,,TomTom MySports Watch,2017-08-10-182854.gpx
2017-08-08,18:39:14,Running,,12.56,59:37:00,04:45,12.64,849,121,158,,TomTom MySports Watch,2017-08-08-183914.gpx
2017-08-05,17:14:00,Running,,18.6,01:44:22,05:37,10.69,1398,295,142,,,2017-08-05-171400.gpx
2017-08-01,18:39:42,Running,,8.4,42:50:00,05:06,11.77,589,83,156,,TomTom MySports Watch,2017-08-01-183942.gpx
2017-07-30,17:24:23,Running,,18.58,01:45:15,05:40,10.59,1312,307,145,,TomTom MySports Watch,2017-07-30-172423.gpx
2017-07-23,17:14:16,Running,,18.71,01:39:26,05:19,11.29,1308,298,144,,TomTom MySports Watch,2017-07-23-171416.gpx
2017-07-19,18:50:31,Running,,12.8,01:08:04,05:19,11.28,891,170,143,,TomTom MySports Watch,2017-07-19-185031.gpx
2017-07-16,10:34:21,Running,,18.54,01:44:22,05:38,10.66,1302,295,142,,TomTom MySports Watch,2017-07-16-103421.gpx
2017-07-10,18:26:02,Running,,12.6,01:04:42,05:08,11.68,880,124,155,,TomTom MySports Watch,2017-07-10-182602.gpx
2017-07-08,16:26:43,Running,,23.59,02:13:08,05:39,10.63,1668,390,143,,TomTom MySports Watch,2017-07-08-162643.gpx
2017-07-05,18:53:40,Running,,12.78,01:07:52,05:19,11.3,875,173,140,,TomTom MySports Watch,2017-07-05-185340.gpx
2017-07-02,18:34:53,Running,,10.25,58:05:00,05:40,10.59,714,130,138,,TomTom MySports Watch,2017-07-02-183453.gpx
2017-07-02,17:15:47,Running,,13.39,01:16:21,05:42,10.52,938,248,136,,TomTom MySports Watch,2017-07-02-171547.gpx
2017-06-28,18:24:55,Running,,12.7,01:07:16,05:18,11.33,883,171,147,,TomTom MySports Watch,2017-06-28-182455.gpx
2017-06-25,15:57:36,Running,,21.27,02:04:36,05:51,10.24,1518,340,145,,TomTom MySports Watch,2017-06-25-155736.gpx
2017-06-21,18:42:29,Running,,12.72,01:09:23,05:27,11,885,175,139,,TomTom MySports Watch,2017-06-21-184229.gpx
2017-06-17,10:13:45,Running,,14.87,01:25:46,05:46,10.41,1048,247,143,,TomTom MySports Watch,2017-06-17-101345.gpx
2017-06-15,18:54:32,Running,,12.8,01:06:15,05:10,11.59,901,128,147,,TomTom MySports Watch,2017-06-15-185432.gpx
2017-06-12,18:25:58,Running,,12.67,01:05:58,05:12,11.53,893,128,148,,TomTom MySports Watch,2017-06-12-182558.gpx
