Date,Time,Type,Route Name,Distance (km),00:24:41,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
2013-07-05,08:01:00,Running,,3.75,21:10,05:39,10.63,280,55,,,,2013-07-05-080100.gpx
2013-07-03,07:20:00,Running,,3.75,21:55,05:51,10.26,281,55,,,,2013-07-03-072000.gpx
2013-07-02,07:43:00,Running,,3.75,21:40,05:47,10.38,281,55,,,,2013-07-02-074300.gpx
2013-07-01,07:09:00,Running,,3.75,21:10,05:39,10.63,262,0,,,,
2013-06-26,18:19:00,Running,,16,01:06:49,04:11,14.37,1101,0,,,,
2013-06-22,08:05:20,Running,,6.23,32:25:00,05:12,11.52,446,35,,,,2013-06-22-080520.gpx
2013-06-15,08:44:27,Running,,6.37,29:53:00,04:41,12.79,417,36,,,,2013-06-15-084427.gpx
2013-06-12,18:21:40,Running,,16.59,01:09:29,04:11,14.32,963,77,,,,2013-06-12-182140.gpx
2013-06-08,07:45:08,Running,,6.35,33:51:00,05:20,11.24,455,36,,,,2013-06-08-074508.gpx
2013-06-03,07:04:59,Walking,,1.33,11:59,09:03,6.63,76,5,,,,2013-06-03-070459.gpx
2013-06-01,07:24:07,Running,,12.57,01:06:30,05:18,11.33,898,67,,,,2013-06-01-072407.gpx
2013-05-28,07:16:32,Running,,6.5,24:17:00,03:44,16.05,361,30,,,,2013-05-28-071632.gpx
2013-05-21,18:45:38,Running,,11.63,01:00:35,05:12,11.52,833,63,,,,2013-05-21-184538.gpx
2013-05-11,08:06:42,Running,,6.15,31:38:00,05:08,11.67,420,32,,,,2013-05-11-080642.gpx
2013-05-09,17:24:19,Cycling,,15.47,38:08:00,02:28,24.33,339,88,,,,2013-05-09-172419.gpx
2013-05-09,09:20:00,Running,,6.53,40:00:00,06:08,9.79,430,0,,,,
2013-05-05,14:26:37,Cycling,,20.3,01:06:29,03:17,18.31,498,97,,,,2013-05-05-142637.gpx
2013-05-05,09:13:02,Running,,6.41,33:58:00,05:18,11.33,454,34,,,,2013-05-05-091302.gpx
2013-05-04,08:47:51,Running,,3.15,16:35,05:16,11.38,225,16,,,,2013-05-04-084751.gpx
2013-05-02,08:36:30,Running,,6.21,32:51:00,05:18,11.33,445,36,,,,2013-05-02-083630.gpx
2013-05-01,08:14:59,Running,,6.22,32:29:00,05:13,11.48,446,34,,,,2013-05-01-081459.gpx
2013-04-29,18:48:30,Walking,,1.37,22:39,16:30,3.64,95,10,,,,2013-04-29-184830.gpx
2013-04-29,13:10:14,Walking,,3.83,38:30:00,10:04,5.96,255,25,,,,2013-04-29-131014.gpx
2013-04-28,17:26:52,Cycling,,13.87,48:27:00,03:30,17.17,341,133,,,,2013-04-28-172652.gpx
2013-04-28,10:56:47,Walking,,1.32,13:48,10:30,5.72,67,5,,,,2013-04-28-105647.gpx
2013-04-28,09:02:23,Running,,3.12,16:36,05:19,11.28,224,17,,,,2013-04-28-090223.gpx
2013-04-24,18:31:02,Running,,6.25,29:29:00,04:43,12.71,399,33,,,,2013-04-24-183102.gpx
2013-04-18,21:48:44,Walking,,1.5,24:41:00,16:28,3.64,86,9,,,,2013-04-18-214844.gpx
2013-04-17,19:27:15,Running,,6.48,32:49:00,05:04,11.84,452,37,,,,2013-04-17-192715.gpx
2013-04-13,08:51:29,Running,,6.34,33:02:00,05:13,11.51,454,33,,,,2013-04-13-085129.gpx
2013-03-20,18:49:59,Running,,7.04,40:12:00,05:43,10.5,490,0,,,,2013-03-20-184959.gpx
2013-03-13,18:59:51,Running,,6.41,37:48:00,05:54,10.17,461,35,,,,2013-03-13-185951.gpx
2013-03-11,18:27:56,Walking,,1.86,16:39,08:56,6.72,116,16,,,,2013-03-11-182756.gpx
2013-02-28,18:46:54,Running,,10.3,01:02:36,06:05,9.87,739,67,,,,2013-02-28-184654.gpx
2013-02-26,18:37:02,Running,,9.53,54:44:00,05:45,10.45,683,52,,,,2013-02-26-183702.gpx
2013-02-22,19:23:38,Running,,6.32,35:58:00,05:41,10.55,454,35,,,,2013-02-22-192338.gpx
2013-02-20,18:43:56,Running,,9.59,52:35:00,05:29,10.94,687,52,,,,2013-02-20-184356.gpx
2013-02-15,18:46:00,Running,,9.48,50:29:00,05:20,11.27,655,51,,,,2013-02-15-184600.gpx
2013-02-06,18:58:31,Running,,3.07,08:54,02:54,20.72,103,9,,,,2013-02-06-185831.gpx
2013-01-23,18:38:29,Running,,8.65,50:13:00,05:48,10.34,614,45,,,,2013-01-23-183829.gpx
2013-01-19,09:58:50,Running,,3.39,15:56,04:42,12.75,190,15,,,,2013-01-19-095850.gpx
2013-01-15,18:40:08,Running,,6.72,32:42:00,04:52,12.34,398,32,,,,2013-01-15-184008.gpx
2013-01-12,08:39:55,Running,,3.09,20:07,06:31,9.21,201,13,,,,2013-01-12-083955.gpx
2013-01-02,18:35:11,Running,,5.47,31:24:00,05:45,10.44,392,28,,,,2013-01-02-183511.gpx
2012-12-22,08:29:13,Running,,3.05,18:44,06:09,9.76,216,17,,,,2012-12-22-082913.gpx
2012-12-15,09:43:53,Running,,3.14,20:08,06:25,9.36,227,18,,,,2012-12-15-094353.gpx
2012-12-08,08:37:38,Running,,3.21,18:50,05:53,10.21,228,18,,,,2012-12-08-083738.gpx
2012-12-04,18:52:39,Running,,6.63,32:05:00,04:50,12.39,406,30,,,,2012-12-04-185239.gpx
2012-12-01,08:21:18,Running,,3.31,18:07,05:28,10.97,230,18,,,,2012-12-01-082118.gpx
2012-11-28,18:58:02,Running,,6.28,37:29:00,05:58,10.04,450,35,,,,2012-11-28-185802.gpx
2012-11-24,08:57:47,Running,,2.65,14:07,05:20,11.27,186,15,,,,2012-11-24-085747.gpx
2012-11-18,09:51:18,Running,,3.18,17:13,05:25,11.09,228,18,,,,2012-11-18-095118.gpx
2012-11-10,08:37:49,Running,,2.85,16:52,05:55,10.14,205,16,,,,2012-11-10-083749.gpx
2012-11-07,18:54:35,Running,,4.79,27:16:00,05:42,10.53,340,23,,,,2012-11-07-185435.gpx
2012-11-04,18:59:06,Walking,,1.22,12:05,09:54,6.07,67,10,,,,2012-11-04-185906.gpx
2012-10-23,18:43:56,Running,,5.2,29:26:00,05:40,10.59,371,27,,,,2012-10-23-184356.gpx
2012-10-20,08:37:33,Running,,3.18,19:28,06:07,9.8,228,18,,,,2012-10-20-083733.gpx
2012-10-18,18:39:07,Running,,3.7,19:17,05:13,11.51,264,20,,,,2012-10-18-183907.gpx
2012-10-16,20:27:31,Running,,1.28,13:17,10:24,5.77,69,9,,,,2012-10-16-202731.gpx
2012-09-22,08:56:08,Running,,3.16,16:26,05:13,11.52,225,18,,,,2012-09-22-085608.gpx
2012-09-15,08:05:15,Running,,3.11,16:58,05:28,10.98,223,18,,,,2012-09-15-080515.gpx
2012-09-08,08:35:02,Running,,3.27,15:55,04:52,12.32,231,15,,,,2012-09-08-083502.gpx
2012-09-04,19:12:17,Running,,6.26,32:35:00,05:12,11.53,455,34,,,,2012-09-04-191217.gpx
2012-09-03,15:25:22,Walking,,2.49,26:58:00,10:51,5.53,189,14,,,,2012-09-03-152522.gpx
2012-09-03,13:20:56,Walking,,4.29,39:25:00,09:12,6.53,316,112,,,,2012-09-03-132056.gpx
2012-09-02,08:41:31,Running,,3.14,16:16,05:11,11.56,230,18,,,,2012-09-02-084131.gpx
2012-08-30,07:10:21,Walking,,1.43,15:12,10:40,5.63,77,7,,,I was feeling sick,2012-08-30-071021.gpx
2012-08-29,18:19:26,Walking,,1.34,13:14,09:55,6.05,82,16,,,,2012-08-29-181926.gpx
2012-08-29,08:21:43,Walking,,1.48,14:48,10:02,5.98,89,6,,,,2012-08-29-082143.gpx
2012-08-28,19:43:52,Walking,,1.46,13:24,09:12,6.52,87,13,,,,2012-08-28-194352.gpx
2012-08-28,07:06:57,Walking,,1.57,13:39,08:41,6.91,926743,7,,,,2012-08-28-070657.gpx
2012-08-24,12:59:42,Walking,,1.48,17:56,12:09,4.94,942192,12,,,,2012-08-24-125942.gpx
2012-08-24,10:12:16,Walking,,1.49,13:43,09:14,6.49,924486,9,,,,2012-08-24-101216.gpx
2012-08-24,08:13:12,Running,,3.15,16:00,05:05,11.82,2288868,17,,,,2012-08-24-081312.gpx
2012-08-22,18:53:54,Running,,5.69,31:08:00,05:29,10.95,4072685,32,,,,2012-08-22-185354.gpx
